week,roster_id,matchup_id,points,players,starters
4,2,1,107.24,10222|10444|11604|11631|12508|12530|19|2216|4866|6770|7543|8126|8136|8143|8188|96|MIN,12508|4866|7543|11631|8126|11604|8188|96|MIN
4,3,3,127.28,12506|12524|3163|4033|421|4983|4988|6804|7049|7547|7588|7594|8205|9756|CLE,6804|7594|7588|7547|7049|4033|4988|421|CLE
4,4,5,91.54,10229|11560|11628|12495|12509|12526|3198|4144|4984|5844|7090|7528|9500|9508|SF,4984|3198|12495|11628|9500|5844|12526|11560|SF
4,5,2,135.18,11655|2133|2307|3214|4034|4066|5848|5859|5927|6111|7526|7527|7591|8150|9226|9758|LAC,2307|4034|9226|2133|5859|3214|8150|7591|LAC
4,6,3,149.2,11564|11576|11584|11638|12517|12519|12533|1373|2449|3294|3321|7564|8110|9509|HOU,1373|9509|11584|7564|3321|8110|11638|11564|HOU
4,7,6,133.52,10213|11620|12522|12527|3161|4018|4039|4199|4892|4981|5947|6801|7523|8130|8408|9753|PHI,4892|8408|12527|6801|11620|8130|5947|7523|PHI
4,8,5,148.98,1234|12512|4046|5012|5870|6786|7670|8132|8151|8155|9493|9494|9754|9997|GB,4046|8155|8151|9754|9493|5012|9997|5870|GB
4,9,6,104.04,10859|11563|11566|11589|11624|11627|11632|12499|1339|1479|4035|5045|5892|8144|8676|BUF,11563|4035|11589|11632|1479|10859|8144|5045|BUF
4,10,4,156.48,11562|12469|1466|5022|5846|5850|5967|6797|7611|8112|8134|8146|8183|9488|NE|SEA,6797|5850|5967|8146|9488|1466|8112|8183|NE
4,11,2,142.76,10236|11635|12483|12484|12489|12490|12501|12518|4943|6768|6783|6794|8138|9221|DET,6768|9221|8138|6794|11635|12518|6783|4943|DET
4,12,4,154.1,11637|12514|5849|6790|6803|6813|6904|7569|8137|8148|8210|8228|9228|9484|DEN,6904|6813|6790|7569|12514|9484|8137|5849|DEN
5,1,1,95.76,11559|11565|12481|12507|12529|1426|4037|4217|4574|4881|5872|6806|6819|7002|7525|7567|9224|LAR,4574|12507|6806|6819|5872|7002|4037|12481|LAR
5,2,2,104.08,10222|11604|11631|12508|12530|2216|4866|4950|5995|6770|7543|8121|8126|8136|9480|96|MIN,12508|4866|7543|8126|4950|9480|8136|11631|MIN
5,3,4,177.88,12506|3163|4033|421|4983|4988|6804|7021|7049|7547|7588|7594|8205|9756|CLE,3163|7021|7588|7547|9756|4033|4988|421|CLE
5,4,6,89.62,10229|11560|11628|12495|12499|12509|12526|3198|4144|4984|5844|7090|7528|8117|9500|SF,4984|3198|12495|11628|9500|5844|12526|12499|SF
5,5,2,190.68,11655|2133|2307|3214|4034|4066|5848|5859|5927|6111|7526|7527|7553|7591|8150|9226|9758|IND,9758|4034|9226|2133|7526|3214|8150|7591|IND
5,6,3,148.4,11564|11584|11610|11638|12455|12474|12517|12519|12533|1373|2449|3294|6149|7564|8110|9509|PIT|SEA,3294|12474|12533|7564|2449|8110|6149|11564|SEA
5,7,6,130.7,10213|11620|12522|12527|2505|3161|4018|4039|4199|4892|5947|6801|7523|8130|8408|9753|PHI,4892|8408|12527|6801|5947|8130|2505|7523|PHI
5,8,5,118.5,11637|1234|12512|4046|5012|5870|6786|8132|8151|8155|9493|9494|9754|9997|BAL,4046|8155|12512|9754|9493|5012|9997|5870|BAL
5,9,5,130.74,10859|11199|11563|11566|11589|11624|11627|1339|1479|4035|5045|5892|7607|8144|8676|BUF,11563|4035|5892|11624|1479|10859|5045|11566|BUF
5,10,3,144.64,11562|12469|1466|5022|5846|5850|5967|6797|7611|8112|8134|8146|8183|9488|ARI|GB,6797|7611|5967|8146|9488|1466|8134|11562|ARI
5,11,1,137.08,10236|11635|12484|12486|12489|12490|12501|12518|4943|6768|6783|6794|8138|9221|DET,6768|9221|8138|6794|11635|12518|6783|4943|DET
5,12,4,161.9,12514|4098|5849|6790|6803|6813|6904|7569|8137|8148|8210|8228|9228|9484|DEN,6904|6813|4098|7569|12514|8210|8137|5849|DEN
6,1,1,108.3,11559|11565|12481|12507|12529|4037|4217|4574|4881|5872|6806|6819|7525|7567|8698|9224|LAR,11559|12481|6806|6819|7525|8698|5872|7567|LAR
6,2,5,126.5,10222|11603|11604|11631|12508|12530|2216|4866|6770|7543|8121|8123|8126|8136|8188|96|NE,12508|4866|7543|11631|8121|11603|8136|96|NE
6,3,5,98.0,12506|12524|3163|4033|421|4983|4988|6804|7021|7049|7547|7588|7594|8205|9756|CLE,6804|7021|7588|7547|4983|4033|7049|421|CLE
6,4,3,97.58,10229|11560|11628|12495|12499|12509|12526|3198|4144|4984|5844|7090|7528|8117|9500|SF,4984|3198|12495|11628|9500|4144|12526|11560|SF
6,5,2,121.48,11647|11655|19|2133|2307|3214|4034|5859|5927|7526|7527|7553|7591|8150|9226|9758|IND,7591|4034|9226|2133|5859|3214|8150|7527|IND
6,6,3,163.58,11564|11584|11610|11638|12455|12474|12517|12519|12533|1373|2449|3294|4454|6149|7564|8110|9509|PIT,3294|9509|12533|4454|2449|8110|7564|11564|PIT
6,7,2,107.96,10213|11620|12522|12527|2505|3161|4018|4039|4199|4892|5947|6801|7523|8130|8408|9753|PHI,4892|9753|12527|6801|11620|8130|2505|7523|PHI
6,8,1,101.46,11637|1234|12512|4046|5012|5870|6786|8132|8151|8155|9493|9494|9754|9997|LV,4046|8155|12512|9754|9493|5012|9997|5870|LV
6,9,4,95.0,10859|11563|11566|11589|11624|11627|1339|1479|4035|5045|5892|7607|8144|8676|9757|BUF,11563|4035|5892|5045|1479|10859|7607|11566|BUF
6,10,6,165.84,11562|12469|1466|4981|5022|5846|5850|5967|6797|7611|8112|8134|8146|8183|9488|GB,6797|5850|5967|5846|9488|1466|8112|11562|GB
6,11,6,112.6,10236|11635|12484|12486|12489|12490|12501|12518|4943|6768|6783|6794|8138|9221|DET,6768|9221|8138|12501|11635|12518|6783|4943|DET
6,12,4,160.08,12514|4098|5849|6790|6803|6813|6904|7569|8137|8148|8210|8228|9228|9484|DEN,6904|6813|6790|8137|12514|9484|8228|9228|DEN
7,1,1,118.64,11559|11565|12481|12507|12529|4037|4217|4881|5848|5872|6806|6819|7525|7567|8698|9224|LAR,11559|12481|7567|6819|7525|4217|5848|6806|LAR
