draft_id,round,pick_no,roster_id,picked_by,player_id,player_name,position,team
1256688515979157504,6,71,1,466683853101068288,5872,Deebo Samuel,WR,WAS
1256688515979157504,6,72,8,987443942218153984,5012,Mark Andrews,TE,BAL
1256688515979157504,7,73,5,739726290625695744,7591,Justin Fields,QB,NYJ
1256688515979157504,7,74,6,860946563801911296,11564,Drake Maye,QB,NE
1256688515979157504,7,75,9,865670496178540544,5892,David Montgomery,RB,DET
1256688515979157504,7,76,1,466683853101068288,7525,DeVonta Smith,WR,PHI
1256688515979157504,7,77,11,1134531051994378240,12489,RJ Harvey,RB,DEN
1256688515979157504,7,78,9,865670496178540544,11624,Xavier Worthy,WR,KC
1256688515979157504,7,79,6,860946563801911296,3294,Dak Prescott,QB,DAL
1256688515979157504,7,80,2,849415090615717888,12504,Kaleb Johnson,RB,PIT
1256688515979157504,7,81,11,1134531051994378240,6783,Jerry Jeudy,WR,CLE
1256688515979157504,7,82,7,864203707116552192,11620,Rome Odunze,WR,CHI
1256688515979157504,7,83,12,1128909535848099840,6790,D'Andre Swift,RB,CHI
1256688515979157504,7,84,12,1128909535848099840,8137,George Pickens,WR,DAL
1256688515979157504,8,85,7,864203707116552192,4199,Aaron Jones,RB,MIN
1256688515979157504,8,86,12,1128909535848099840,8148,Jameson Williams,WR,DET
1256688515979157504,8,87,2,849415090615717888,7543,Travis Etienne,RB,JAX
1256688515979157504,8,88,9,865670496178540544,8144,Chris Olave,WR,NO
1256688515979157504,8,89,3,738827134155522048,8205,Isiah Pacheco,RB,KC
1256688515979157504,8,90,9,865670496178540544,5045,Courtland Sutton,WR,DEN
1256688515979157504,8,91,8,987443942218153984,9997,Zay Flowers,WR,BAL
1256688515979157504,8,92,10,865692370853851136,5967,Tony Pollard,RB,TEN
1256688515979157504,8,93,7,864203707116552192,7523,Trevor Lawrence,QB,JAX
1256688515979157504,8,94,12,1128909535848099840,9225,Tank Bigsby,RB,JAX
1256688515979157504,8,95,11,1134531051994378240,6768,Tua Tagovailoa,QB,MIA
1256688515979157504,8,96,3,738827134155522048,9756,Jordan Addison,WR,MIN
1256688515979157504,9,97,7,864203707116552192,12522,Cam Ward,QB,TEN
1256688515979157504,9,98,3,738827134155522048,4033,David Njoku,TE,CLE
1256688515979157504,9,99,5,739726290625695744,7526,Jaylen Waddle,WR,MIA
1256688515979157504,9,100,11,1134531051994378240,12518,Tyler Warren,TE,IND
1256688515979157504,9,101,3,738827134155522048,4988,Nick Chubb,RB,HOU
1256688515979157504,9,102,5,739726290625695744,4066,Evan Engram,TE,DEN
1256688515979157504,9,103,1,466683853101068288,11559,Michael Penix,QB,ATL
1256688515979157504,9,104,12,1128909535848099840,8228,Jaylen Warren,RB,PIT
1256688515979157504,9,105,12,1128909535848099840,9228,Bryce Young,QB,CAR
1256688515979157504,9,106,12,1128909535848099840,12514,Emeka Egbuka,WR,TB
1256688515979157504,9,107,11,1134531051994378240,12501,Matthew Golden,WR,GB
1256688515979157504,9,108,7,864203707116552192,PHI,Philadelphia Eagles,DEF,PHI
1256688515979157504,10,109,7,864203707116552192,8408,Jordan Mason,RB,MIN
1256688515979157504,10,110,1,466683853101068288,12481,Cam Skattebo,RB,NYG
1256688515979157504,10,111,3,738827134155522048,8154,Brian Robinson,RB,SF
1256688515979157504,10,112,7,864203707116552192,4981,Calvin Ridley,WR,TEN
1256688515979157504,10,113,7,864203707116552192,4039,Cooper Kupp,WR,SEA
1256688515979157504,10,114,1,466683853101068288,4037,Chris Godwin,WR,TB
1256688515979157504,10,115,5,739726290625695744,11655,Tyrone Tracy,RB,NYG
1256688515979157504,10,116,1,466683853101068288,6806,J.K. Dobbins,RB,DEN
1256688515979157504,10,117,3,738827134155522048,421,Matthew Stafford,QB,LAR
1256688515979157504,10,118,7,864203707116552192,5947,Jakobi Meyers,WR,LV
1256688515979157504,10,119,11,1134531051994378240,4943,Sam Darnold,QB,SEA
1256688515979157504,10,120,6,860946563801911296,12517,Colston Loveland,TE,CHI
1256688515979157504,11,121,7,864203707116552192,4018,Joe Mixon,RB,HOU
1256688515979157504,11,122,6,860946563801911296,11638,Ricky Pearsall,WR,SF
1256688515979157504,11,123,7,864203707116552192,9753,Zach Charbonnet,RB,SEA
1256688515979157504,11,124,1,466683853101068288,6819,Michael Pittman,WR,IND
1256688515979157504,11,125,3,738827134155522048,7049,Jauan Jennings,WR,SF
1256688515979157504,11,126,6,860946563801911296,2449,Stefon Diggs,WR,NE
1256688515979157504,11,127,6,860946563801911296,1373,Geno Smith,QB,LV
1256688515979157504,11,128,10,865692370853851136,8134,Khalil Shakir,WR,BUF
1256688515979157504,11,129,3,738827134155522048,7588,Javonte Williams,RB,DAL
1256688515979157504,11,130,12,1128909535848099840,6803,Brandon Aiyuk,WR,SF
