player_id,full_name,first_name,last_name,position,team,status
4943,Sam Darnold,Sam,Darnold,QB,SEA,Active
5809,Ja'Quan Gardner,Ja'Quan,Gardner,RB,,Active
4215,Brian Allen,Brian,Allen,CB,,Active
10228,Charlie Jones,Charlie,Jones,WR,CIN,Active
4026,DeShone Kizer,DeShone,Kizer,QB,,Active
8097,Dominique Martin,Dominique,Martin,CB,,Active
12155,Nate Lynn,Nate,Lynn,DL,,Active
1353,Mike Gillislee,Mike,Gillislee,RB,,Inactive
13499,Kage Casey,Kage,Casey,OT,DEN,Active
1900,Joel Bitonio,Joel,Bitonio,OG,,Active
7170,Jarren Williams,Jarren,Williams,CB,,Active
10905,Brian Branch,Brian,Branch,DB,DET,Active
12819,Kevin Knowles,Kevin,Knowles,DB,KC,Active
1169,Robert Griffin,Robert,Griffin,QB,,Inactive
5952,Chase Hansen,Chase,Hansen,LB,,Active
3383,Riley Dixon,Riley,Dixon,P,TB,Active
11598,Tanner McLachlan,Tanner,McLachlan,TE,SF,Inactive
11995,Zack Annexstad,Zack,Annexstad,QB,,Active
11998,Emani Bailey,Emani,Bailey,RB,,Active
11516,T.J. Bass,T.J.,Bass,OL,DAL,Active
11436,P.J. Mustipher,P.J.,Mustipher,NT,ARI,Inactive
829,Andy Dalton,Andy,Dalton,QB,PHI,Active
7248,Jeffery Whatley,Jeffery,Whatley,DT,,Active
10222,Jayden Reed,Jayden,Reed,WR,GB,Active
2552,Xzavier Dickson,Xzavier,Dickson,ILB,,Active
7534,Seth Williams,Seth,Williams,WR,,Inactive
2754,Michael Johnson,Michael,Johnson,WR,,Active
5657,Asantay Brown,Asantay,Brown,OLB,,Active
4003,Woody Johnson,Woody,Johnson,,,Inactive
1023,Mike Pouncey,Mike,Pouncey,C,,Injured Reserve
3698,Patrick Skov,Patrick,Skov,FB,,Inactive
6431,Nydair Rouse,Nydair,Rouse,CB,,Active
11714,Jonah Elliss,Jonah,Elliss,DE,DEN,Active
1751,Toben Opurum,Toben,Opurum,FB,,Inactive
770,Andrew Sendejo,Andrew,Sendejo,DB,,Active
895,Jordan Todman,Jordan,Todman,RB,,Inactive
5874,Kaleb McGary,Kaleb,McGary,T,,Active
7721,Chris Rumph,Chris,Rumph,LB,NO,Active
6388,Romello Brooker,Romello,Brooker,TE,,Active
3712,Adam Fuehne,Adam,Fuehne,TE,,Inactive
12924,Fatorma Mulbah,Fatorma,Mulbah,DL,,Active
234,Matt McCants,Matt,McCants,T,,Inactive
6003,Anthony Nelson,Anthony,Nelson,LB,TB,Active
2684,Corbin Louks,Corbin,Louks,WR,,Active
13588,Zach Durfee,Zach,Durfee,DE,JAX,Active
1266,Greg Zuerlein,Greg,Zuerlein,K,,Active
3345,Anthony Brown,Anthony,Brown,CB,,Inactive
7431,Eli Mencer,Eli,Mencer,DE,,Inactive
8562,Jake Dixon,Jake,Dixon,T,,Inactive
5369,Dane Cruikshank,Dane,Cruikshank,DB,,Active
7905,Dylan Soehner,Dylan,Soehner,TE,,Active
12284,Michael Herzog,Michael,Herzog,RB,,Active
11311,Jason Brownlee,Jason,Brownlee,WR,KC,Active
194,Reggie Wayne,Reggie,Wayne,WR,,Inactive
8816,Demetrius Taylor,Demetrius,Taylor,DT,,Active
1953,Travis Labhart,Travis,Labhart,WR,,Inactive
466,Vontae Davis,Vontae,Davis,CB,,Injured Reserve
4330,JoJo Natson,JoJo,Natson,WR,,Active
6072,Bruce Anderson,Bruce,Anderson,RB,,Inactive
414,Brian Orakpo,Brian,Orakpo,LB,,Injured Reserve
10943,Isaiah McGuire,Isaiah,McGuire,DL,CLE,Active
12532,Ja'Corey Brooks,Ja'Corey,Brooks,WR,,Active
10944,Tavius Robinson,Tavius,Robinson,DE,BAL,Active
2202,Je'Ron Hamm,Je'Ron,Hamm,TE,,Inactive
12262,Michael Furtney,Michael,Furtney,OL,,Active
11008,Anders Carlson,Anders,Carlson,K,,Active
3278,Pharoh Cooper,Pharoh,Cooper,WR,,Active
5165,Quinton Flowers,Quinton,Flowers,QB,,Inactive
11683,Jackson Powers-Johnson,Jackson,Powers-Johnson,OL,LV,Active
12703,Branson Taylor,Branson,Taylor,OL,LAC,Active
5351,Da'Shawn Hand,Da'Shawn,Hand,DT,ATL,Active
12890,R.J. Delancy,R.J.,Delancy,CB,,Active
12981,Gee Scott,Gee,Scott,TE,NYJ,Inactive
2581,Jahwan Edwards,Jahwan,Edwards,RB,,Active
4544,Daikiel Shorts,Daikiel,Shorts,WR,,Active
4418,LeShun Daniels,LeShun,Daniels,RB,,Inactive
5672,Ryan McKinley,Ryan,McKinley,CB,,Active
8481,Ja'Sir Taylor,Ja'Sir,Taylor,DB,CIN,Active
11370,Chris Brooks,Chris,Brooks,RB,GB,Active
1958,Xavier Su'a-Filo,Xavier,Su'a-Filo,G,CIN,Active
13388,CJ Allen,CJ,Allen,LB,IND,Active
6196,Christian Wade,Christian,Wade,RB,,Inactive
12749,Luke Elkin,Luke,Elkin,LS,CHI,Active
12805,Glendon Miller,Glendon,Miller,DB,,Active
4104,Taylor Moton,Taylor,Moton,T,CAR,Active
11002,Keondre Coburn,Keondre,Coburn,DT,,Active
7776,Israel Mukuamu,Israel,Mukuamu,DB,,Active
7794,Chris Evans,Chris,Evans,RB,,Active
530,Jermaine Gresham,Jermaine,Gresham,TE,,Inactive
11117,Johari Branch,Johari,Branch,C,,Active
3304,Quinton Jefferson,Quinton,Jefferson,DT,,Active
4,Roddy White,Roddy,White,WR,,Inactive
13234,Ryan Nelson,Ryan,Nelson,T,,Active
